author_id	name
0	Mark P. O. Morford
1	Robert J. Lenardon
2	Richard Bruce Wright
3	Carlo D'Este
4	Gina Kolata
5	Elizabeth Wayland Barber
6	E. J. W. Barber
7	Amy Tan
8	Robert Cowley
9	Scott Turow
10	Stacy Keach
11	David Cordingly
12	Ann Beattie
13	David Adams Richards
14	Kensington
15	Sheila Heti
16	J. R. Kaiser
17	Jack Canfield
18	Mark Victor Hansen
19	Jennifer Read Haw
20	Loren D. Estleman
21	John Kenneth
22	Robert Hendrickson
23	Julia Oliver
24	John Grisham
25	Toni Morrison
26	The Onion
27	Scott Dikkers
28	Mike Loew
29	Celia Brooks Brown
30	Jane Noraika
31	Philip Webb
32	J. R. Parrish
33	Mary-kate &amp; Ashley Olsen
34	Robynn Clairday
35	Kathleen Duey
36	Karen A. Bale
37	Bill Dodge
38	Rich Shapero
39	Michael Crichton
40	C.S. Lewis
41	Arthur Phillips
42	Stephen Jaramillo
43	Mordecai Richler
44	Michael Panofsky
45	Anette Grube
46	Eleanor Cooney
47	Daniel Altieri
48	Charlotte Link
49	Richard North Patterson
50	Kristian Lutze
51	Mark Salzman
52	Harper Lee
53	Laura Hillenbrand
54	Barbara Kingsolver
55	Jo Dereske
56	Jane Austen
57	Dolores Krieger
58	Anne Rivers Siddons
59	Dean Koontz
60	Mary Higgins Clark
61	Patricia Cornwell
62	J.D. Robb
63	Maeve Binchy
64	Laura J. Mixon
65	Tim LaHaye
66	Jerry B. Jenkins
67	Bernie S. Siegel M.D.
68	Robert Penn Warren
69	Hans Johannes Hoefer
70	Mark Helprin
71	O. Carl Simonton M.D.
72	James Creighton Ph.D.
73	Stepha
74	Chuck Hill
75	David Iglehart
76	Larry McMurtry
77	Suzanne Fisher Staples
78	Michel Tournier
79	Carl Sagan
80	Aleksandr Zinoviev
81	Anne Tyler
82	Joseph Conrad
83	Deepak Chopra
84	Martin Greenberg
85	Thomas Hardy
86	Charles Noland
87	Sherri Baker
88	Valerie Frankel
89	Benjamin Hoff
90	Niccolo Machiavelli
91	H. Jackson Brown Jr.
92	Robert A. Heinlein
93	Philip Pullman
94	Michael Ondaatje
95	Sandra Levy Ceren
96	P. J. O'Rourke
97	Mike Gayle
98	Stel Pavlou
99	Sarah Payne Stuart
100	Dan Quayle
101	Donald F. Kettl
102	Donald Kettl
103	David Frum
104	Louis L'Amour
105	J.D. Salinger
106	John Berendt
107	Jennifer Crusie
108	Jane Heller
109	Michael Rips
110	Simon Mawer
111	William Abrahams
112	Robert T. Kiyosaki
113	Sharon L. Lechter
114	Ken Follett
115	John F. Love
116	Robert G. Allen
117	Louis De Bernieres
118	Pam Proctor
119	Allen M. Schoen
120	Mitch Albom
121	Michael Jan Friedman
122	Ronald D. Moore
123	Glendon Swarthout
124	Neal Barrett Jr.
125	J. Michael Straczynski
126	David Morrell
127	Sandra Brown
128	James Patterson
129	Peter De Jonge
130	Stuart Woods
131	Iris Johansen
132	Dan Brown
133	Joe Hutsko
134	Anita Shreve
135	Ann Rule
136	Lewis Grizzard
137	Paul Theroux
138	Charles Hickey
139	Todd Lighty
140	John O'Brien
141	Stephen King
142	Ben Mezrich
143	Bill Hand
144	Tom Clancy
145	Dana Reeve
146	Roy
147	Barbara Metzger
148	Gabriel Garcia Marquez
149	Rebecca Wells
150	Tony Hillerman
151	Robert James Waller
152	Rachel Harris
153	Ian McEwan
154	Michael Lewis
155	Richard Zimler
156	Norman Jetmundsen
157	Lorenzo Carcaterra
158	Anne Frasier
159	Kay Hooper
160	Daphne Du Maurier
161	Nathaniel Hawthorne
162	Leo Marx
163	Nick Page
164	Laura Wolf
165	Lois Duncan
166	Susan Grant
167	Barbara Vine
168	Shirley Rousseau Murphy
169	Jane Lindskold
170	Betty Smith
171	Cybill Shepherd
172	Aimee Lee Ball
173	Stewart O'Nan
174	David Baldacci
175	Douglas Adams
176	Mary Lawson
177	Willa Cather
178	Olivia Goldsmith
179	Helen Fielding
180	Dover Thrift Editions
181	Franklin W. Dixon
182	Lilian Jackson Braun
183	Holly Virden
184	Michelle McKinney Hammond
185	H. Norman Wright
186	Piers Anthony
187	Ray Bradbury
188	Friedrich Schiller
189	Walter Schafarschik
190	Peter Naujack
191	Raymond Chandler
192	Hans Wollschläger
193	Thomas Schlück
194	Norbert Wölfl
195	Alexander Schmitz
196	Jürgen Bauer
197	Alastair Ker
198	Paulo Coelho
199	Maralde Meyer-Minnemann
200	Gabriel García Márquez
201	Fay Weldon
202	Arabella Weir
203	Kiana Davenport
204	Margarete Längsfeld
205	Sue Townsend
206	Renan Demirkan
207	Michael Moore
208	Helmut Dierlamm
209	Heike Schlatterer
210	Jonathan Franzen
211	Bettina Abarbanell
212	J. D. Salinger
213	Annemarie Böll
214	Heinrich Böll
215	Elisab
216	James Joyce
217	Joanna Trollope
218	Antoinette Gittinger
219	Milan Kundera
220	Arundhati Roy
221	Robert S. Levinson
222	Lorna Landvik
